iter	RMSE
0	0.7608646101
1	0.733522898
2	0.7100552928
3	0.6914014282
4	0.6766835812
5	0.6635905361
6	0.6522636351
7	0.6437721145
8	0.6361053214
9	0.6295597234
10	0.623777102
11	0.6188692573
12	0.6151133359
13	0.6120675177
14	0.6093317906
15	0.6068282388
16	0.6046594534
17	0.6022980549
18	0.6008128036
19	0.5990054761
20	0.5980244588
21	0.5970168729
22	0.5957183771
23	0.5949033711
24	0.5940120552
25	0.5933114944
26	0.5923073494
27	0.5917667125
28	0.591345046
29	0.5907955541
30	0.590336834
31	0.5898179701
32	0.5894749096
33	0.5890350145
34	0.5886576445
35	0.5883398146
36	0.5880423803
37	0.5876836353
38	0.587213401
39	0.5869955252
40	0.5866340757
41	0.5863870637
42	0.5860814698
43	0.5856421803
44	0.58535383
45	0.5849982973
46	0.5847568094
47	0.5845505596
48	0.5840845652
49	0.5839294981
50	0.5836953563
51	0.5835257705
52	0.5832070529
53	0.5829709321
54	0.582755895
55	0.5825130372
56	0.5824012191
57	0.5822824233
58	0.5821332191
59	0.5820386524
60	0.5819123481
61	0.5815575948
62	0.581398837
63	0.5812477651
64	0.5810366236
65	0.5808778736
66	0.5806744096
67	0.5804838466
68	0.5803574652
69	0.5801773951
70	0.5799849414
71	0.5798087101
72	0.5796187341
73	0.5795016644
74	0.5793008569
75	0.5791328339
76	0.5789300805
77	0.5787554473
78	0.5785809626
79	0.578393357
80	0.5782005087
81	0.5780348439
82	0.5778529631
83	0.5776516859
84	0.5775590547
85	0.5774085583
86	0.5772410221
87	0.5771474892
88	0.576940381
89	0.5767721296
90	0.5765179513
91	0.5763992724
92	0.5763194664
93	0.5762145286
94	0.576009217
95	0.5758669251
96	0.575591486
97	0.575404612
98	0.5752153917
99	0.5750687502
100	0.5747685924
101	0.57455559
102	0.5742410153
103	0.5740102647
104	0.5738574955
105	0.5736025114
106	0.5733196165
107	0.5731014812
108	0.572945569
109	0.5727917214
110	0.5726230842
111	0.5723871537
112	0.5721995468
113	0.5720064024
114	0.5718144903
115	0.5716195265
116	0.5715234655
117	0.571428349
118	0.5712605617
119	0.5711334848
120	0.5709157171
121	0.5706523676
122	0.5704969774
123	0.5703508954
124	0.5701823674
125	0.570036304
126	0.5698859031
127	0.5697371267
128	0.5694371096
129	0.5692765052
130	0.569178433
131	0.5690180146
132	0.5687896612
133	0.5686467089
134	0.568342667
135	0.5681877016
136	0.5681019208
137	0.5680012031
138	0.5677998058
139	0.5675858684
140	0.5674013935
141	0.5672598178
142	0.5670671083
143	0.5669132499
144	0.5667065922
145	0.5665038586
146	0.5663499962
147	0.5662061945
148	0.5660679902
149	0.5659689408
150	0.565852578
151	0.5656639375
152	0.5655065398
153	0.5654117703
154	0.5652470712
155	0.5649811881
156	0.5648623622
157	0.5647342195
158	0.5645695429
159	0.5644848725
160	0.5643453862
161	0.564214077
162	0.5640125135
163	0.5638746485
164	0.5637750377
165	0.5635394046
166	0.5634075228
167	0.56322619
168	0.5630462477
169	0.5628677226
170	0.5627058714
171	0.5625527976
172	0.5624503168
173	0.5623827839
174	0.5622013493
175	0.5620641227
176	0.5618208205
177	0.5617229963
178	0.5615259464
179	0.5613904116
180	0.5612774062
181	0.5611395669
182	0.5610596297
183	0.5609134541
184	0.560687134
185	0.5605582433
186	0.5603168013
187	0.560095669
188	0.5598659941
189	0.5597826123
190	0.5596231236
191	0.5594942616
192	0.5594172442
193	0.5592639277
194	0.5591570256
195	0.5590163627
196	0.5588249926
197	0.5587556587
198	0.5585942939
199	0.5584863299
200	0.5584032402
201	0.558244312
