iter	Passed	Remaining
0	9	4856
1	18	4720
2	27	4494
3	34	4246
4	40	3995
5	45	3712
6	49	3491
7	54	3343
8	58	3188
9	62	3057
10	66	2945
11	70	2847
12	74	2788
13	78	2726
14	81	2651
15	85	2596
16	89	2551
17	93	2511
18	97	2463
19	100	2413
20	104	2389
21	107	2346
22	111	2308
23	114	2278
24	118	2249
25	122	2237
26	126	2209
27	129	2177
28	132	2158
29	137	2153
30	141	2137
31	144	2117
32	147	2094
33	152	2086
34	155	2067
35	158	2044
36	162	2030
37	166	2021
38	170	2013
39	174	2004
40	177	1988
41	181	1979
42	186	1977
43	191	1988
44	197	1995
45	202	1998
46	206	1990
47	209	1976
48	213	1965
49	217	1960
50	221	1948
51	224	1935
52	228	1924
53	231	1914
54	235	1904
55	239	1896
56	242	1887
57	246	1874
58	250	1869
59	253	1859
60	257	1853
61	262	1851
62	266	1850
63	271	1848
64	276	1847
65	280	1844
66	285	1842
67	289	1839
68	294	1837
69	298	1834
70	302	1828
71	305	1818
72	310	1813
73	313	1806
74	317	1799
75	321	1791
76	324	1781
77	328	1775
78	332	1771
79	336	1764
80	339	1756
81	342	1747
82	347	1746
83	351	1739
84	354	1732
85	358	1724
86	362	1718
87	365	1712
88	369	1705
89	372	1696
90	376	1692
91	380	1687
92	384	1682
93	388	1676
94	392	1671
95	397	1671
96	401	1666
97	405	1662
98	409	1656
99	413	1652
100	417	1649
101	420	1641
102	424	1637
103	429	1633
104	432	1627
105	436	1622
106	439	1615
107	444	1612
108	448	1607
109	451	1601
110	454	1594
111	458	1588
112	462	1585
113	466	1578
114	469	1572
115	474	1569
116	478	1565
117	483	1564
118	488	1563
119	493	1563
120	498	1561
121	503	1560
122	508	1559
123	513	1555
124	516	1548
125	519	1542
126	523	1536
127	527	1534
128	532	1530
129	535	1524
130	539	1518
131	543	1516
132	547	1509
133	551	1505
134	554	1499
135	558	1495
136	562	1490
137	565	1483
138	569	1478
139	573	1473
140	576	1468
141	581	1465
142	585	1460
143	589	1456
144	593	1452
145	596	1446
146	600	1442
147	604	1438
148	609	1435
149	613	1430
150	616	1424
151	620	1420
152	624	1417
153	629	1413
154	633	1409
155	637	1406
156	641	1402
157	645	1396
158	649	1392
159	652	1386
160	656	1383
161	661	1379
162	664	1374
163	668	1370
164	673	1367
165	677	1363
166	681	1358
167	684	1353
168	689	1349
169	693	1346
170	698	1344
171	703	1341
172	708	1338
173	712	1335
174	717	1332
175	723	1331
176	728	1329
177	732	1325
178	737	1323
179	742	1320
180	747	1317
181	751	1313
182	756	1310
183	760	1306
184	765	1304
185	771	1302
186	776	1299
187	780	1295
188	786	1293
189	792	1293
190	798	1292
191	804	1290
192	808	1285
193	812	1282
194	818	1279
195	823	1277
196	828	1273
197	833	1271
198	838	1268
199	842	1264
200	847	1260
201	852	1258
202	857	1254
203	861	1250
204	867	1248
205	872	1244
206	877	1241
207	882	1238
208	887	1235
209	892	1232
210	897	1228
211	902	1226
212	906	1222
213	911	1218
214	917	1215
215	923	1214
216	927	1209
217	933	1207
218	938	1203
219	943	1200
220	947	1196
221	952	1193
222	957	1189
223	962	1185
224	967	1182
225	972	1178
226	976	1174
227	982	1171
228	986	1167
229	991	1164
230	996	1160
231	1001	1156
232	1005	1152
233	1011	1149
234	1016	1146
235	1021	1142
236	1024	1137
237	1031	1135
238	1036	1131
239	1041	1128
240	1048	1126
241	1054	1123
242	1058	1119
243	1063	1116
244	1068	1111
245	1072	1106
246	1077	1103
247	1081	1099
248	1086	1095
249	1091	1091
250	1096	1088
251	1102	1084
252	1106	1080
253	1111	1076
254	1117	1073
255	1121	1069
256	1127	1065
257	1131	1061
258	1135	1057
259	1140	1052
260	1145	1048
261	1149	1043
262	1153	1039
263	1158	1036
264	1165	1033
265	1171	1030
266	1177	1027
267	1183	1024
268	1188	1020
269	1193	1016
270	1197	1012
271	1201	1007
272	1206	1003
273	1211	999
274	1216	995
275	1220	990
276	1226	987
277	1230	982
278	1234	978
279	1239	973
280	1244	969
281	1248	965
282	1253	960
283	1258	957
284	1263	953
285	1267	948
286	1272	944
287	1277	940
288	1281	935
289	1285	930
290	1290	926
291	1294	922
292	1298	917
293	1302	912
294	1307	908
295	1312	904
296	1316	899
297	1321	895
298	1325	891
299	1329	886
300	1333	881
301	1338	877
302	1343	873
303	1347	868
304	1351	863
305	1355	859
306	1359	854
307	1364	850
308	1368	845
309	1373	841
310	1377	837
311	1381	832
312	1386	828
313	1390	823
314	1395	819
315	1399	814
316	1403	810
317	1407	805
318	1411	801
319	1415	796
320	1420	791
321	1424	787
322	1428	782
323	1432	777
324	1436	773
325	1440	768
326	1444	764
327	1448	759
328	1452	755
329	1456	750
330	1460	745
331	1463	740
332	1468	736
333	1472	731
334	1476	727
335	1479	722
336	1484	717
337	1488	713
338	1492	708
339	1496	704
340	1500	699
341	1505	695
342	1509	690
343	1512	685
344	1516	681
345	1520	676
346	1524	672
347	1527	667
348	1531	662
349	1535	658
350	1539	653
351	1543	648
352	1547	644
353	1551	639
354	1555	635
355	1559	630
356	1563	626
357	1567	621
358	1570	617
359	1575	612
360	1579	607
361	1583	603
362	1586	598
363	1590	594
364	1594	589
365	1598	585
366	1602	580
367	1606	576
368	1610	571
369	1614	567
370	1618	562
371	1622	558
372	1625	553
373	1629	549
374	1633	544
375	1638	540
376	1641	535
377	1645	531
378	1649	526
379	1653	522
380	1656	517
381	1660	512
382	1664	508
383	1667	503
384	1671	499
385	1675	494
386	1679	490
387	1683	485
388	1686	481
389	1690	476
390	1693	472
391	1698	467
392	1701	463
393	1704	458
394	1708	454
395	1713	449
396	1716	445
397	1720	440
398	1723	436
399	1728	432
400	1732	427
401	1735	423
402	1740	418
403	1744	414
404	1748	410
405	1751	405
406	1755	401
407	1759	396
408	1763	392
409	1767	388
410	1771	383
411	1774	379
412	1779	374
413	1783	370
414	1787	366
415	1790	361
416	1795	357
417	1798	352
418	1802	348
419	1806	344
420	1810	339
421	1814	335
422	1818	330
423	1821	326
424	1825	322
425	1829	317
426	1833	313
427	1837	309
428	1841	304
429	1845	300
430	1849	296
431	1853	291
432	1857	287
433	1861	283
434	1865	278
435	1868	274
436	1872	269
437	1876	265
438	1880	261
439	1884	256
440	1887	252
441	1892	248
442	1895	243
443	1898	239
444	1902	235
445	1907	230
446	1911	226
447	1914	222
448	1918	217
449	1922	213
450	1926	209
451	1930	205
452	1934	200
453	1938	196
454	1942	192
455	1945	187
456	1949	183
457	1953	179
458	1957	174
459	1961	170
460	1965	166
461	1969	161
462	1974	157
463	1978	153
464	1981	149
465	1985	144
466	1989	140
467	1993	136
468	1997	132
469	2001	127
470	2005	123
471	2010	119
472	2014	114
473	2017	110
474	2022	106
475	2026	102
476	2030	97
477	2033	93
478	2037	89
479	2041	85
480	2045	80
481	2049	76
482	2054	72
483	2057	68
484	2061	63
485	2065	59
486	2069	55
487	2074	51
488	2078	46
489	2081	42
490	2086	38
491	2090	33
492	2093	29
493	2097	25
494	2102	21
495	2106	16
496	2110	12
497	2113	8
498	2118	4
499	2122	0
